Pair,Horizon,Magnitude,Position,Threshold,Low,High
USDMXN,2,3,12,1.5,0.39,0.64
USDMXN,3,1,1,0.01,0.45,0.73
USDMXN,3,1,2,0.02,0.54,0.75
USDMXN,3,1,3,0.03,0.38,0.73
USDMXN,3,1,4,0.04,0.51,0.79
USDMXN,3,1,5,0.05,0.51,0.78
USDMXN,3,2,6,0.1,0.31,0.55
USDMXN,3,2,7,0.2,0.34,0.51
USDMXN,3,2,8,0.3,0.29,0.52
USDMXN,3,2,9,0.4,0.31,0.53
USDMXN,3,2,10,0.5,0.24,0.52
USDMXN,3,3,11,1.0,0.35,0.59
USDMXN,3,3,12,1.5,0.35,0.61
USDMXN,3,3,13,2.0,0.44,0.72
USDMXN,4,1,1,0.01,0.50,0.73
USDMXN,4,1,2,0.02,0.38,0.73
USDMXN,4,1,3,0.03,0.43,0.75
USDMXN,4,1,4,0.04,0.51,0.73
USDMXN,4,1,5,0.05,0.47,0.74
USDMXN,4,2,6,0.1,0.26,0.50
USDMXN,4,2,7,0.2,0.21,0.52
USDMXN,4,2,8,0.3,0.28,0.48
USDMXN,4,2,9,0.4,0.24,0.52
USDMXN,4,2,10,0.5,0.32,0.50
USDMXN,4,3,11,1.0,0.34,0.52
USDMXN,4,3,12,1.5,0.32,0.58
USDMXN,4,3,13,2.0,0.39,0.61
USDMXN,4,3,14,2.5,0.34,0.69
USDMXN,5,1,1,0.01,0.46,0.70
USDMXN,5,1,2,0.02,0.48,0.73
USDMXN,5,1,3,0.03,0.44,0.69
USDMXN,5,1,4,0.04,0.47,0.77
USDMXN,5,1,5,0.05,0.39,0.72
USDMXN,5,2,6,0.1,0.28,0.51
USDMXN,5,2,7,0.2,0.27,0.49
USDMXN,5,2,8,0.3,0.27,0.47
USDMXN,5,2,9,0.4,0.28,0.46
USDMXN,5,2,10,0.5,0.26,0.51
USDMXN,5,3,11,1.0,0.29,0.53
USDMXN,5,3,12,1.5,0.27,0.56
USDMXN,5,3,13,2.0,0.33,0.64
USDMXN,5,3,14,2.5,0.35,0.59
USDMXN,5,3,15,3.0,0.51,0.80
USDMXN,6,1,1,0.01,0.35,0.68
USDMXN,6,1,2,0.02,0.36,0.68
USDMXN,6,1,3,0.03,0.42,0.65
USDMXN,6,1,4,0.04,0.33,0.66
USDMXN,6,1,5,0.05,0.43,0.69
USDMXN,6,2,6,0.1,0.28,0.48
USDMXN,6,2,7,0.2,0.27,0.43
USDMXN,6,2,8,0.3,0.25,0.45
USDMXN,6,2,9,0.4,0.18,0.45
USDMXN,6,2,10,0.5,0.27,0.47
USDMXN,6,3,11,1.0,0.24,0.47
USDMXN,6,3,12,1.5,0.30,0.46
USDMXN,6,3,13,2.0,0.24,0.51
USDMXN,6,3,14,2.5,0.30,0.53
USDMXN,6,3,15,3.0,0.26,0.54
USDMXN,7,1,1,0.01,0.37,0.67
USDMXN,7,1,2,0.02,0.39,0.65
USDMXN,7,1,3,0.03,0.37,0.63
USDMXN,7,1,4,0.04,0.39,0.62
USDMXN,7,1,5,0.05,0.37,0.67
USDMXN,7,2,6,0.1,0.40,0.65
USDMXN,7,2,7,0.2,0.28,0.50
USDMXN,7,2,8,0.3,0.24,0.46
USDMXN,7,2,9,0.4,0.24,0.45
USDMXN,7,2,10,0.5,0.24,0.49
USDMXN,7,3,11,1.0,0.22,0.44
USDMXN,7,3,12,1.5,0.26,0.48
USDMXN,7,3,13,2.0,0.28,0.48
USDMXN,7,3,14,2.5,0.30,0.49
USDMXN,7,3,15,3.0,0.32,0.49
EURUSD,1,1,1,0.01,0.71,0.95
EURUSD,1,1,2,0.02,0.34,0.64
EURUSD,1,1,3,0.03,0.39,0.63
EURUSD,1,1,4,0.04,0.39,0.61
EURUSD,1,1,5,0.05,0.36,0.68
EURUSD,1,2,6,0.1,0.27,0.64
EURUSD,1,2,7,0.2,0.36,0.64
EURUSD,1,2,8,0.3,0.34,0.65
EURUSD,1,2,9,0.4,0.31,0.63
EURUSD,1,2,10,0.5,0.29,0.67
EURUSD,2,1,1,0.01,0.36,0.80
EURUSD,2,1,2,0.02,0.54,0.82
EURUSD,2,1,3,0.03,0.24,0.61
EURUSD,2,1,4,0.04,0.21,0.56
EURUSD,2,1,5,0.05,0.27,0.55
EURUSD,2,2,6,0.1,0.28,0.55
EURUSD,2,2,7,0.2,0.30,0.53
EURUSD,2,2,8,0.3,0.37,0.58
EURUSD,2,2,9,0.4,0.31,0.57
EURUSD,2,2,10,0.5,0.34,0.62
EURUSD,2,3,11,1.0,0.40,0.70
EURUSD,3,1,1,0.01,0.38,0.73
EURUSD,3,1,2,0.02,0.44,0.75
EURUSD,3,1,3,0.03,0.45,0.73
EURUSD,3,1,4,0.04,0.30,0.52
EURUSD,3,1,5,0.05,0.24,0.56
EURUSD,3,2,6,0.1,0.32,0.48
EURUSD,3,2,7,0.2,0.31,0.48
EURUSD,3,2,8,0.3,0.31,0.52
EURUSD,3,2,9,0.4,0.27,0.53
EURUSD,3,2,10,0.5,0.30,0.51
EURUSD,3,3,11,1.0,0.28,0.60
EURUSD,4,1,1,0.01,0.43,0.73
EURUSD,4,1,2,0.02,0.43,0.74
EURUSD,4,1,3,0.03,0.34,0.70
EURUSD,4,1,4,0.04,0.45,0.71
EURUSD,4,1,5,0.05,0.40,0.71
EURUSD,4,2,6,0.1,0.26,0.48
EURUSD,4,2,7,0.2,0.28,0.49
EURUSD,4,2,8,0.3,0.29,0.46
EURUSD,4,2,9,0.4,0.28,0.49
EURUSD,4,2,10,0.5,0.29,0.54
EURUSD,4,3,11,1.0,0.23,0.58
EURUSD,4,3,12,1.5,0.41,0.72
EURUSD,5,1,1,0.01,0.33,0.67
EURUSD,5,1,2,0.02,0.37,0.69
EURUSD,5,1,3,0.03,0.39,0.67
EURUSD,5,1,4,0.04,0.42,0.64
EURUSD,5,1,5,0.05,0.44,0.68
EURUSD,5,2,6,0.1,0.29,0.49
EURUSD,5,2,7,0.2,0.24,0.44
EURUSD,5,2,8,0.3,0.25,0.48
EURUSD,5,2,9,0.4,0.24,0.46
EURUSD,5,2,10,0.5,0.31,0.48
EURUSD,5,3,11,1.0,0.31,0.58
EURUSD,5,3,12,1.5,0.33,0.63
EURUSD,6,1,1,0.01,0.44,0.65
EURUSD,6,1,2,0.02,0.37,0.66
EURUSD,6,1,3,0.03,0.40,0.66
EURUSD,6,1,4,0.04,0.38,0.66
EURUSD,6,1,5,0.05,0.46,0.65
EURUSD,6,2,6,0.1,0.28,0.46
EURUSD,6,2,7,0.2,0.24,0.46
EURUSD,6,2,8,0.3,0.28,0.42
EURUSD,6,2,9,0.4,0.25,0.45
EURUSD,6,2,10,0.5,0.26,0.46
EURUSD,6,3,11,1.0,0.35,0.48
EURUSD,6,3,12,1.5,0.35,0.56
EURUSD,6,3,13,2.0,0.40,0.70
EURUSD,7,1,1,0.01,0.42,0.68
EURUSD,7,1,2,0.02,0.42,0.65
EURUSD,7,1,3,0.03,0.37,0.70
EURUSD,7,1,4,0.04,0.31,0.66
EURUSD,7,1,5,0.05,0.31,0.61
EURUSD,7,2,6,0.1,0.25,0.43
EURUSD,7,2,7,0.2,0.24,0.45
EURUSD,7,2,8,0.3,0.21,0.46
EURUSD,7,2,9,0.4,0.26,0.45
EURUSD,7,2,10,0.5,0.23,0.41
EURUSD,7,3,11,1.0,0.26,0.44
EURUSD,7,3,12,1.5,0.30,0.45
EURUSD,7,3,13,2.0,0.24,0.55
EURUSD,7,3,14,2.5,0.47,0.69
EURUSD,7,3,15,3.0,0.40,0.68
EURGBP,1,1,1,0.01,0.65,0.96
EURGBP,1,1,2,0.02,0.42,0.62
EURGBP,1,1,3,0.03,0.35,0.63
EURGBP,1,1,4,0.04,0.38,0.66
EURGBP,1,1,5,0.05,0.40,0.66
EURGBP,1,2,6,0.1,0.46,0.66
EURGBP,1,2,7,0.2,0.36,0.68
EURGBP,1,2,8,0.3,0.31,0.65
EURGBP,1,2,9,0.4,0.38,0.64
EURGBP,1,2,10,0.5,0.42,0.65
EURGBP,2,1,1,0.01,0.40,0.80
EURGBP,2,1,2,0.02,0.45,0.79
EURGBP,2,1,3,0.03,0.34,0.58
EURGBP,2,1,4,0.04,0.26,0.54
EURGBP,2,1,5,0.05,0.27,0.56
EURGBP,2,2,6,0.1,0.16,0.56
EURGBP,2,2,7,0.2,0.28,0.57
EURGBP,2,2,8,0.3,0.34,0.54
EURGBP,2,2,9,0.4,0.33,0.57
EURGBP,2,2,10,0.5,0.32,0.61
EURGBP,2,3,11,1.0,0.38,0.67
EURGBP,3,1,1,0.01,0.42,0.77
EURGBP,3,1,2,0.02,0.55,0.76
EURGBP,3,1,3,0.03,0.47,0.80
EURGBP,3,1,4,0.04,0.25,0.53
EURGBP,3,1,5,0.05,0.29,0.52
EURGBP,3,2,6,0.1,0.22,0.50
EURGBP,3,2,7,0.2,0.27,0.50
EURGBP,3,2,8,0.3,0.33,0.50
EURGBP,3,2,9,0.4,0.31,0.55
EURGBP,3,2,10,0.5,0.34,0.57
EURGBP,3,3,11,1.0,0.33,0.63
EURGBP,4,1,1,0.01,0.50,0.74
EURGBP,4,1,2,0.02,0.47,0.74
EURGBP,4,1,3,0.03,0.41,0.72
EURGBP,4,1,4,0.04,0.21,0.56
EURGBP,4,1,5,0.05,0.27,0.55
EURGBP,4,2,6,0.1,0.31,0.49
EURGBP,4,2,7,0.2,0.22,0.51
EURGBP,4,2,8,0.3,0.28,0.50
EURGBP,4,2,9,0.4,0.19,0.51
EURGBP,4,2,10,0.5,0.35,0.55
EURGBP,4,3,11,1.0,0.38,0.60
EURGBP,5,1,1,0.01,0.38,0.70
EURGBP,5,1,2,0.02,0.39,0.66
EURGBP,5,1,3,0.03,0.39,0.69
EURGBP,5,1,4,0.04,0.38,0.70
EURGBP,5,1,5,0.05,0.30,0.52
EURGBP,5,2,6,0.1,0.26,0.49
EURGBP,5,2,7,0.2,0.27,0.50
EURGBP,5,2,8,0.3,0.23,0.49
EURGBP,5,2,9,0.4,0.29,0.51
EURGBP,5,2,10,0.5,0.23,0.52
EURGBP,5,3,11,1.0,0.31,0.48
EURGBP,5,3,12,1.5,0.36,0.54
EURGBP,6,1,1,0.01,0.38,0.66
EURGBP,6,1,2,0.02,0.38,0.64
EURGBP,6,1,3,0.03,0.41,0.68
EURGBP,6,1,4,0.04,0.33,0.63
EURGBP,6,1,5,0.05,0.39,0.64
EURGBP,6,2,6,0.1,0.24,0.52
EURGBP,6,2,7,0.2,0.27,0.45
EURGBP,6,2,8,0.3,0.25,0.44
EURGBP,6,2,9,0.4,0.22,0.46
EURGBP,6,2,10,0.5,0.27,0.47
EURGBP,6,3,11,1.0,0.30,0.48
EURGBP,6,3,12,1.5,0.34,0.60
EURGBP,6,3,13,2.0,0.24,0.53
EURGBP,6,3,14,2.5,0.35,0.71
EURGBP,7,1,1,0.01,0.44,0.63
EURGBP,7,1,2,0.02,0.42,0.65
EURGBP,7,1,3,0.03,0.43,0.65
EURGBP,7,1,4,0.04,0.36,0.59
EURGBP,7,1,5,0.05,0.42,0.60
EURGBP,7,2,6,0.1,0.25,0.47
EURGBP,7,2,7,0.2,0.25,0.40
EURGBP,7,2,8,0.3,0.20,0.46
EURGBP,7,2,9,0.4,0.29,0.44
EURGBP,7,2,10,0.5,0.26,0.46
EURGBP,7,3,11,1.0,0.28,0.49
EURGBP,7,3,12,1.5,0.29,0.59
EURGBP,7,3,13,2.0,0.30,0.53
EURGBP,7,3,14,2.5,0.37,0.60
EURGBP,7,3,15,3.0,0.41,0.67
EURJPY,1,1,1,0.01,0.50,0.96
EURJPY,1,1,2,0.02,0.41,0.70
EURJPY,1,1,3,0.03,0.33,0.69
EURJPY,1,1,4,0.04,0.34,0.71
EURJPY,1,1,5,0.05,0.38,0.63
EURJPY,1,2,6,0.1,0.36,0.63
EURJPY,1,2,7,0.2,0.34,0.66
EURJPY,1,2,8,0.3,0.35,0.65
EURJPY,1,2,9,0.4,0.43,0.66
EURJPY,1,2,10,0.5,0.39,0.64
EURJPY,2,1,1,0.01,0.47,0.82
EURJPY,2,1,2,0.02,0.49,0.80
EURJPY,2,1,3,0.03,0.51,0.84
EURJPY,2,1,4,0.04,0.39,0.58
EURJPY,2,1,5,0.05,0.35,0.56
EURJPY,2,2,6,0.1,0.31,0.58
EURJPY,2,2,7,0.2,0.26,0.57
EURJPY,2,2,8,0.3,0.30,0.51
EURJPY,2,2,9,0.4,0.40,0.57
EURJPY,2,2,10,0.5,0.40,0.59
EURJPY,2,3,11,1.0,0.48,0.76
EURJPY,3,1,1,0.01,0.46,0.73
EURJPY,3,1,2,0.02,0.44,0.74
EURJPY,3,1,3,0.03,0.49,0.73
EURJPY,3,1,4,0.04,0.23,0.53
EURJPY,3,1,5,0.05,0.32,0.47
EURJPY,3,2,6,0.1,0.27,0.50
EURJPY,3,2,7,0.2,0.28,0.48
EURJPY,3,2,8,0.3,0.27,0.50
EURJPY,3,2,9,0.4,0.30,0.57
EURJPY,3,2,10,0.5,0.32,0.55
EURJPY,3,3,11,1.0,0.33,0.61
EURJPY,4,1,1,0.01,0.47,0.67
EURJPY,4,1,2,0.02,0.37,0.69
EURJPY,4,1,3,0.03,0.45,0.67
EURJPY,4,1,4,0.04,0.29,0.52
EURJPY,4,1,5,0.05,0.31,0.52
EURJPY,4,2,6,0.1,0.20,0.52
EURJPY,4,2,7,0.2,0.23,0.50
EURJPY,4,2,8,0.3,0.27,0.54
EURJPY,4,2,9,0.4,0.30,0.50
EURJPY,4,2,10,0.5,0.28,0.51
EURJPY,4,3,11,1.0,0.38,0.54
EURJPY,4,3,12,1.5,0.33,0.62
EURJPY,5,1,1,0.01,0.47,0.70
EURJPY,5,1,2,0.02,0.48,0.65
EURJPY,5,1,3,0.03,0.33,0.64
EURJPY,5,1,4,0.04,0.45,0.69
EURJPY,5,1,5,0.05,0.43,0.68
EURJPY,5,2,6,0.1,0.28,0.48
EURJPY,5,2,7,0.2,0.25,0.46
EURJPY,5,2,8,0.3,0.26,0.44
EURJPY,5,2,9,0.4,0.23,0.43
EURJPY,5,2,10,0.5,0.27,0.46
EURJPY,5,3,11,1.0,0.29,0.57
EURJPY,5,3,12,1.5,0.34,0.55
EURJPY,6,1,1,0.01,0.40,0.62
EURJPY,6,1,2,0.02,0.38,0.65
EURJPY,6,1,3,0.03,0.38,0.63
EURJPY,6,1,4,0.04,0.44,0.64
EURJPY,6,1,5,0.05,0.40,0.63
EURJPY,6,2,6,0.1,0.30,0.54
EURJPY,6,2,7,0.2,0.25,0.50
EURJPY,6,2,8,0.3,0.27,0.42
EURJPY,6,2,9,0.4,0.24,0.50
EURJPY,6,2,10,0.5,0.25,0.48
EURJPY,6,3,11,1.0,0.25,0.44
EURJPY,6,3,12,1.5,0.33,0.53
EURJPY,6,3,13,2.0,0.35,0.71
EURJPY,6,3,14,2.5,0.34,0.69
EURJPY,7,1,1,0.01,0.36,0.65
EURJPY,7,1,2,0.02,0.43,0.63
EURJPY,7,1,3,0.03,0.38,0.66
EURJPY,7,1,4,0.04,0.47,0.64
EURJPY,7,1,5,0.05,0.42,0.65
EURJPY,7,2,6,0.1,0.28,0.46
EURJPY,7,2,7,0.2,0.27,0.47
EURJPY,7,2,8,0.3,0.27,0.45
EURJPY,7,2,9,0.4,0.28,0.44
EURJPY,7,2,10,0.5,0.25,0.44
EURJPY,7,3,11,1.0,0.21,0.44
EURJPY,7,3,12,1.5,0.25,0.44
EURJPY,7,3,13,2.0,0.27,0.50
EURJPY,7,3,14,2.5,0.37,0.67
EURJPY,7,3,15,3.0,0.49,0.68
EURCHF,1,1,1,0.01,0.57,0.94
EURCHF,1,1,2,0.02,0.37,0.65
EURCHF,1,1,3,0.03,0.29,0.64
EURCHF,1,1,4,0.04,0.35,0.62
EURCHF,1,1,5,0.05,0.27,0.64
EURCHF,1,2,6,0.1,0.21,0.66
EURCHF,1,2,7,0.2,0.48,0.65
EURCHF,1,2,8,0.3,0.31,0.69
EURCHF,1,2,9,0.4,0.40,0.71
EURCHF,2,1,1,0.01,0.57,0.87
EURCHF,2,1,2,0.02,0.33,0.64
EURCHF,2,1,3,0.03,0.25,0.55
EURCHF,2,1,4,0.04,0.29,0.58
EURCHF,2,1,5,0.05,0.30,0.59
EURCHF,2,2,6,0.1,0.39,0.57
EURCHF,2,2,7,0.2,0.38,0.58
EURCHF,2,2,8,0.3,0.40,0.64
EURCHF,2,2,9,0.4,0.26,0.61
EURCHF,2,2,10,0.5,0.42,0.61
EURCHF,3,1,1,0.01,0.44,0.75
EURCHF,3,1,2,0.02,0.40,0.76
EURCHF,3,1,3,0.03,0.33,0.53
EURCHF,3,1,4,0.04,0.24,0.52
EURCHF,3,1,5,0.05,0.31,0.50
EURCHF,3,2,6,0.1,0.30,0.55
EURCHF,3,2,7,0.2,0.33,0.56
EURCHF,3,2,8,0.3,0.25,0.56
EURCHF,3,2,9,0.4,0.36,0.58
EURCHF,3,2,10,0.5,0.39,0.60
EURCHF,4,1,1,0.01,0.45,0.70
EURCHF,4,1,2,0.02,0.36,0.74
EURCHF,4,1,3,0.03,0.31,0.56
EURCHF,4,1,4,0.04,0.35,0.53
EURCHF,4,1,5,0.05,0.28,0.53
EURCHF,4,2,6,0.1,0.24,0.53
EURCHF,4,2,7,0.2,0.32,0.51
EURCHF,4,2,8,0.3,0.33,0.53
EURCHF,4,2,9,0.4,0.24,0.53
EURCHF,4,2,10,0.5,0.31,0.56
EURCHF,5,1,1,0.01,0.38,0.68
EURCHF,5,1,2,0.02,0.42,0.77
EURCHF,5,1,3,0.03,0.31,0.50
EURCHF,5,1,4,0.04,0.33,0.49
EURCHF,5,1,5,0.05,0.27,0.52
EURCHF,5,2,6,0.1,0.31,0.49
EURCHF,5,2,7,0.2,0.15,0.48
EURCHF,5,2,8,0.3,0.30,0.47
EURCHF,5,2,9,0.4,0.30,0.47
EURCHF,5,2,10,0.5,0.30,0.56
EURCHF,6,1,1,0.01,0.35,0.64
EURCHF,6,1,2,0.02,0.40,0.66
EURCHF,6,1,3,0.03,0.40,0.64
EURCHF,6,1,4,0.04,0.34,0.51
EURCHF,6,1,5,0.05,0.17,0.51
EURCHF,6,2,6,0.1,0.28,0.47
EURCHF,6,2,7,0.2,0.23,0.47
EURCHF,6,2,8,0.3,0.25,0.47
EURCHF,6,2,9,0.4,0.25,0.49
EURCHF,6,2,10,0.5,0.28,0.47
EURCHF,6,3,11,1.0,0.28,0.52
EURCHF,7,1,1,0.01,0.43,0.64
EURCHF,7,1,2,0.02,0.41,0.65
EURCHF,7,1,3,0.03,0.39,0.61
EURCHF,7,1,4,0.04,0.32,0.60
EURCHF,7,1,5,0.05,0.33,0.51
EURCHF,7,2,6,0.1,0.31,0.48
EURCHF,7,2,7,0.2,0.25,0.43
EURCHF,7,2,8,0.3,0.22,0.46
EURCHF,7,2,9,0.4,0.26,0.42
EURCHF,7,2,10,0.5,0.28,0.47
EURCHF,7,3,11,1.0,0.29,0.48
EURCHF,7,3,12,1.5,0.31,0.58
EURCAD,1,1,1,0.01,0.57,0.94
EURCAD,1,1,2,0.02,0.53,0.95
EURCAD,1,1,3,0.03,0.34,0.63
EURCAD,1,1,4,0.04,0.30,0.65
EURCAD,1,1,5,0.05,0.32,0.64
EURCAD,1,2,6,0.1,0.39,0.67
EURCAD,1,2,7,0.2,0.41,0.62
EURCAD,1,2,8,0.3,0.38,0.63
EURCAD,1,2,9,0.4,0.39,0.63
EURCAD,1,2,10,0.5,0.37,0.68
EURCAD,2,1,1,0.01,0.51,0.82
EURCAD,2,1,2,0.02,0.53,0.83
EURCAD,2,1,3,0.03,0.53,0.84
EURCAD,2,1,4,0.04,0.34,0.59
EURCAD,2,1,5,0.05,0.33,0.50
EURCAD,2,2,6,0.1,0.31,0.53
EURCAD,2,2,7,0.2,0.38,0.55
EURCAD,2,2,8,0.3,0.28,0.62
EURCAD,2,2,9,0.4,0.33,0.58
EURCAD,2,2,10,0.5,0.37,0.62
EURCAD,2,3,11,1.0,0.42,0.68
EURCAD,3,1,1,0.01,0.60,0.78
EURCAD,3,1,2,0.02,0.48,0.79
EURCAD,3,1,3,0.03,0.31,0.53
EURCAD,3,1,4,0.04,0.37,0.56
EURCAD,3,1,5,0.05,0.34,0.57
EURCAD,3,2,6,0.1,0.30,0.52
EURCAD,3,2,7,0.2,0.31,0.51
EURCAD,3,2,8,0.3,0.37,0.54
EURCAD,3,2,9,0.4,0.30,0.58
EURCAD,3,2,10,0.5,0.30,0.55
EURCAD,3,3,11,1.0,0.28,0.62
EURCAD,4,1,1,0.01,0.46,0.74
EURCAD,4,1,2,0.02,0.53,0.76
EURCAD,4,1,3,0.03,0.52,0.74
EURCAD,4,1,4,0.04,0.46,0.73
EURCAD,4,1,5,0.05,0.31,0.53
EURCAD,4,2,6,0.1,0.30,0.55
EURCAD,4,2,7,0.2,0.30,0.50
EURCAD,4,2,8,0.3,0.31,0.48
EURCAD,4,2,9,0.4,0.32,0.51
EURCAD,4,2,10,0.5,0.19,0.54
EURCAD,4,3,11,1.0,0.37,0.59
EURCAD,5,1,1,0.01,0.52,0.74
EURCAD,5,1,2,0.02,0.51,0.71
EURCAD,5,1,3,0.03,0.38,0.72
EURCAD,5,1,4,0.04,0.44,0.72
EURCAD,5,1,5,0.05,0.26,0.52
EURCAD,5,2,6,0.1,0.26,0.47
EURCAD,5,2,7,0.2,0.28,0.49
EURCAD,5,2,8,0.3,0.30,0.52
EURCAD,5,2,9,0.4,0.29,0.53
EURCAD,5,2,10,0.5,0.31,0.52
EURCAD,5,3,11,1.0,0.33,0.57
EURCAD,5,3,12,1.5,0.40,0.61
EURCAD,6,1,1,0.01,0.47,0.69
EURCAD,6,1,2,0.02,0.42,0.66
EURCAD,6,1,3,0.03,0.44,0.68
EURCAD,6,1,4,0.04,0.40,0.69
EURCAD,6,1,5,0.05,0.26,0.48
EURCAD,6,2,6,0.1,0.30,0.51
EURCAD,6,2,7,0.2,0.27,0.47
EURCAD,6,2,8,0.3,0.25,0.46
EURCAD,6,2,9,0.4,0.29,0.48
EURCAD,6,2,10,0.5,0.25,0.48
EURCAD,6,3,11,1.0,0.33,0.52
EURCAD,6,3,12,1.5,0.37,0.58
EURCAD,6,3,13,2.0,0.36,0.60
EURCAD,7,1,1,0.01,0.35,0.61
EURCAD,7,1,2,0.02,0.35,0.64
EURCAD,7,1,3,0.03,0.46,0.67
EURCAD,7,1,4,0.04,0.33,0.61
EURCAD,7,1,5,0.05,0.37,0.64
EURCAD,7,2,6,0.1,0.23,0.44
EURCAD,7,2,7,0.2,0.24,0.45
EURCAD,7,2,8,0.3,0.27,0.45
EURCAD,7,2,9,0.4,0.23,0.49
EURCAD,7,2,10,0.5,0.24,0.44
EURCAD,7,3,11,1.0,0.33,0.45
EURCAD,7,3,12,1.5,0.31,0.54
EURCAD,7,3,13,2.0,0.27,0.53
EURCAD,7,3,14,2.5,0.44,0.73
NZDUSD,1,1,1,0.01,0.67,0.96
NZDUSD,1,1,2,0.02,0.53,0.99
NZDUSD,1,1,3,0.03,0.28,0.68
NZDUSD,1,1,4,0.04,0.29,0.69
NZDUSD,1,1,5,0.05,0.32,0.68
NZDUSD,1,2,6,0.1,0.36,0.64
NZDUSD,1,2,7,0.2,0.45,0.65
NZDUSD,1,2,8,0.3,0.35,0.60
NZDUSD,1,2,9,0.4,0.39,0.60
NZDUSD,1,2,10,0.5,0.40,0.64
NZDUSD,2,1,1,0.01,0.56,0.83
NZDUSD,2,1,2,0.02,0.48,0.84
NZDUSD,2,1,3,0.03,0.54,0.81
NZDUSD,2,1,4,0.04,0.46,0.81
NZDUSD,2,1,5,0.05,0.20,0.58
NZDUSD,2,2,6,0.1,0.24,0.58
NZDUSD,2,2,7,0.2,0.30,0.53
NZDUSD,2,2,8,0.3,0.23,0.56
NZDUSD,2,2,9,0.4,0.31,0.52
NZDUSD,2,2,10,0.5,0.25,0.58
NZDUSD,2,3,11,1.0,0.33,0.62
NZDUSD,3,1,1,0.01,0.50,0.72
NZDUSD,3,1,2,0.02,0.52,0.73
NZDUSD,3,1,3,0.03,0.48,0.74
NZDUSD,3,1,4,0.04,0.38,0.73
NZDUSD,3,1,5,0.05,0.39,0.56
NZDUSD,3,2,6,0.1,0.30,0.55
NZDUSD,3,2,7,0.2,0.30,0.50
NZDUSD,3,2,8,0.3,0.29,0.50
NZDUSD,3,2,9,0.4,0.30,0.53
NZDUSD,3,2,10,0.5,0.35,0.54
NZDUSD,3,3,11,1.0,0.35,0.61
NZDUSD,3,3,12,1.5,0.34,0.58
NZDUSD,4,1,1,0.01,0.30,0.70
NZDUSD,4,1,2,0.02,0.50,0.71
NZDUSD,4,1,3,0.03,0.44,0.69
NZDUSD,4,1,4,0.04,0.44,0.72
NZDUSD,4,1,5,0.05,0.51,0.69
NZDUSD,4,2,6,0.1,0.30,0.47
NZDUSD,4,2,7,0.2,0.28,0.49
NZDUSD,4,2,8,0.3,0.27,0.49
NZDUSD,4,2,9,0.4,0.28,0.47
NZDUSD,4,2,10,0.5,0.23,0.46
NZDUSD,4,3,11,1.0,0.35,0.56
NZDUSD,4,3,12,1.5,0.40,0.57
NZDUSD,4,3,13,2.0,0.44,0.73
NZDUSD,5,1,1,0.01,0.35,0.68
NZDUSD,5,1,2,0.02,0.42,0.67
NZDUSD,5,1,3,0.03,0.43,0.67
NZDUSD,5,1,4,0.04,0.50,0.67
NZDUSD,5,1,5,0.05,0.40,0.71
NZDUSD,5,2,6,0.1,0.28,0.48
NZDUSD,5,2,7,0.2,0.28,0.50
NZDUSD,5,2,8,0.3,0.28,0.46
NZDUSD,5,2,9,0.4,0.27,0.48
NZDUSD,5,2,10,0.5,0.32,0.49
NZDUSD,5,3,11,1.0,0.28,0.53
NZDUSD,5,3,12,1.5,0.28,0.56
NZDUSD,5,3,13,2.0,0.35,0.60
NZDUSD,6,1,1,0.01,0.39,0.66
NZDUSD,6,1,2,0.02,0.33,0.59
NZDUSD,6,1,3,0.03,0.41,0.62
NZDUSD,6,1,4,0.04,0.42,0.60
NZDUSD,6,1,5,0.05,0.39,0.66
NZDUSD,6,2,6,0.1,0.39,0.65
NZDUSD,6,2,7,0.2,0.28,0.46
NZDUSD,6,2,8,0.3,0.25,0.45
NZDUSD,6,2,9,0.4,0.24,0.46
NZDUSD,6,2,10,0.5,0.27,0.44
NZDUSD,6,3,11,1.0,0.28,0.49
NZDUSD,6,3,12,1.5,0.26,0.51
NZDUSD,6,3,13,2.0,0.35,0.51
NZDUSD,6,3,14,2.5,0.32,0.56
NZDUSD,6,3,15,3.0,0.35,0.58
NZDUSD,7,1,1,0.01,0.39,0.60
NZDUSD,7,1,2,0.02,0.39,0.66
NZDUSD,7,1,3,0.03,0.40,0.66
NZDUSD,7,1,4,0.04,0.35,0.62
NZDUSD,7,1,5,0.05,0.38,0.59
NZDUSD,7,2,6,0.1,0.20,0.63
NZDUSD,7,2,7,0.2,0.22,0.50
NZDUSD,7,2,8,0.3,0.23,0.46
NZDUSD,7,2,9,0.4,0.24,0.50
NZDUSD,7,2,10,0.5,0.29,0.46
NZDUSD,7,3,11,1.0,0.26,0.43
NZDUSD,7,3,12,1.5,0.24,0.45
NZDUSD,7,3,13,2.0,0.29,0.47
NZDUSD,7,3,14,2.5,0.26,0.51
NZDUSD,7,3,15,3.0,0.24,0.51
EURSEK,1,1,1,0.01,0.68,0.97
EURSEK,1,1,2,0.02,0.30,0.61
EURSEK,1,1,3,0.03,0.37,0.65
EURSEK,1,1,4,0.04,0.40,0.60
EURSEK,1,1,5,0.05,0.39,0.69
EURSEK,1,2,6,0.1,0.35,0.65
EURSEK,1,2,7,0.2,0.41,0.65
EURSEK,1,2,8,0.3,0.39,0.66
EURSEK,1,2,9,0.4,0.43,0.63
